record,lat,long
Cariaco,9.88,-64.13
Llano Grande,6.475,-76.093
Fuquene,5.461,-73.747
Triunfo,4.981,-75.332
Ubaque,4.499,-73.935
El Patia-2,2.011,-77.115
Laguna de la Cocha,1.079,-77.152
Pinan,0.506,-78.444
Yahuarcocha,0.371,-78.102
Cayambe,-0.033,-78.033
Maxus,-0.688,-76.438
Yambo,-1.1,-78.589
Dos Chorreras,-2.77,-79.16
Pallcacocha,-2.771,-79.233
Llaviucu,-2.843,-79.145
Santiago,-3.017,-78.133
Palestina,-5.92,-77.35
Laguna de Chochos,-7.63,-77.47
Jahuacocha,-10.233,-76.933
Lutacocha,-10.55,-76.717
Yanacocha,-10.56,-75.93
Huatacocha,-10.767,-76.617
Junin,-11,-76.167
Huagapo,-11.27,-75.79
Marcacocha,-11.37,-76.35
Tuctua,-11.667,-75
Paca,-11.717,-75.5
Pumacocha,-11.75,-75.25
Jeronimo,-11.783,-75.217
Refugio-1,-13.092,-71.708
Quelccaya,-13.16,-70.14
Pacucha,-13.612,-73.318
Consuelo,-13.951,-68.991
Chalalan,-14.428,-67.921
Santa Rosa,-14.481,-67.873
Umayo,-15.72,-70.152
Lagunillas,-15.727,-70.739
Titicaca,-16.246,-68.781
Sajama,-18.117,-68.967
Ajata,-18.25,-69.2
Aculeo,-33.14,-70.15
Maule,-36.06,-70.489